Attribute,Personality
Dean's Award,Responsible
First Class Honor,Responsible
1st Class Honours,Responsible
Join Competition,Responsible
Join Society,Responsible
Working Experience,Responsible
Honor,Responsible
Award,Responsible
Skills,Responsible
Education,Responsible
Language,Responsible
About me,Responsible
Scholarship,Responsible
Manager,Responsible
Dedicated,Responsible
Self-motivated,Responsible
On Time,Punctual
organize,Punctual
organised,Punctual
organized,Punctual
organise,Punctual
exact,Punctual
early,Punctual
schedule,Punctual
timely,Punctual
Cautious,Openness
Intellectual,Openness
Tolerant,Openness
Independent,Openness
Inventive,Openness
Imaginative,Openness
Insightful,Openness
Curious,Openness
Creative,Openness
Outspoken,Openness
Straightforward,Openness
Direct,Openness
Receptive,Openness
Open-minded,Openness
Adventurous,Openness
hearing other idea,Openness
Open to change,Openness
Solve complicated problems,Openness
Thoughtful,Conscientiousness
Goal-oriented,Conscientiousness
Ambitious,Conscientiousness
Organised,Conscientiousness
Mindful,Conscientiousness
Vigilant,Conscientiousness
Control,Conscientiousness
Disciplined,Conscientiousness
Reliable,Conscientiousness
Promblem-Solver,Conscientiousness
Planner,Conscientiousness
Follow Schedule,Conscientiousness
Hard-working,Conscientiousness
Organize,Conscientiousness
Perfectionism,Conscientiousness
Diligence,Conscientiousness
Perfect,Conscientiousness
Responsible,Conscientiousness
Cheerful,Extroversion
Solitary,Extroversion
Sociable,Extroversion
Self-esteem,Extroversion
Liveliness,Extroversion
Independent,Extroversion
Talkative,Extroversion
Assertive,Extroversion
Outgoing,Extroversion
Energetic,Extroversion
Extroved,Extroversion
Friendly,Extroversion
Enthusiastic,Extroversion
Outspoken,Extroversion
Trustworthy,Agreeableness
Trustful,Agreeableness
accommodating,Agreeableness
lenient,Agreeableness
Tempered,Agreeableness
Compassionate,Agreeableness
Patience,Agreeableness
Adaptability,Agreeableness
Gentility,Agreeableness
Friendly,Agreeableness
Optimistic,Agreeableness
Helpful,Agreeableness
Forgiveness,Agreeableness
Good natured,Agreeableness
Truthful,Agreeableness
Kind,Agreeableness
Concerned,Agreeableness
Affectionate,Agreeableness
Cooperative,Agreeableness
Empathetic,Agreeableness
Modest,Agreeableness
Sympathetic,Agreeableness
Compliant,Agreeableness
Ready to help others,Agreeableness
Care,Agreeableness
Calm,Neuroticism
Depressed,Neuroticism
Nervous,Neuroticism
Unconfident,Neuroticism
Sensitive,Neuroticism
Moody,Neuroticism
Strong hearted,Neuroticism
Neurotic,Neuroticism
Anxious,Neuroticism
Collected,Neuroticism
Balanced,Neuroticism
Peaceful,Neuroticism
Tranquil,Neuroticism
Strong-willed,Neuroticism
Emotionally Stable,Neuroticism
Serene,Neuroticism
Resilient,Neuroticism
confidence,Confidence
courage,Confidence
spirit,Confidence
courage,Confidence
Confidence,Confidence
calm,Confidence
assertive,Confidence
compliment,Confidence
positive,Confidence
cheerful,Confidence
Independent,Confidence
Flexible,Teamwork
positive attitude,Teamwork
Flexible,Teamwork
awareness,Teamwork
cooperate,Teamwork
understand,Teamwork
collaborate,Teamwork
Communication,Teamwork
trust,Teamwork
support,Teamwork
Commit to team,Teamwork
encourage,Leadership
adaptable,Leadership
honest,Leadership
active listening,Leadership
innovative,Leadership
confidence,Leadership
decision-making,Leadership
problem-solving,Leadership
motivated,Leadership
discipline,Leadership
intergrity,Leadership
goal,Leadership
passion,Leadership
Manager,Leadership
communication,Leadership
Management,Leadership
decision,Knowledge-sharing
Valuable advice,Knowledge-sharing
valuable help,Knowledge-sharing
helping ,Knowledge-sharing
exchange information,Knowledge-sharing
sharing knowledge,Knowledge-sharing
coach,Knowledge-sharing
answer question,Knowledge-sharing
promote new ideas,Knowledge-sharing
new ways,Innovative
creative,Innovative
new process,Innovative
new idea,Innovative
explore,Innovative
new technique,Innovative
ready to take risk,Innovative
Improve,Innovative
Careless,Cautiousness
easy-going,Cautiousness
reliable,Cautiousness
Consistent,Cautiousness
Self-disciplined,Cautiousness
Organized,Cautiousness
Hardworking,Cautiousness
Long-term goals,Cautiousness
Planner,Cautiousness
Sincere,Honest
Fairness,Honest
Modesty,Honest
trustworthy,Honest
Devoted,Honest
Respectful,Honest
Deceptive,Honest
Fearfulness,Emotionality
Anxiety,Emotionality
Dependence,Emotionality
Sentimentality,Emotionality
Nervous,Emotionality
Self-assured,Emotionality
Secure,Emotionality
Adventure,Dominant
Competitive,Dominant
Bold,Dominant
Direct,Dominant
Determinded,Dominant
Innovative,Dominant
Persevering,Dominant
Problem Solver,Dominant
Self-encourage,Dominant
Attractive,Influencing
Confident,Influencing
Persuassive,Influencing
Inspiring,Influencing
Optimistic,Influencing
Convincing,Influencing
Popular,Influencing
Sociable,Influencing
Trustworthy,Influencing
Accurate,Compliant
Analyst,Compliant
Cautious,Compliant
Modest,Compliant
Diplomatic,Compliant
Fact Discoverer,Compliant
High Standard,Compliant
Mellow,Compliant
Patient,Compliant
cooperative,Compliant
Careful,Compliant
Friendly,Steady
Kind,Steady
Listener,Steady
Patient,Steady
Independent,Steady
Relaxed,Steady
Warm,Steady
Steady,Steady
Team partner,Steady
Perceptive,Steady
explore,Steady
Safe,Steady
adaptable,Innovative
flexible,Compliant
flexible,Innovative
adaptable,Compliant
willing,Active
volunteer,Active
support,Active
Event,Active
Competition,Active
Club,Active
participate,Active
Committee,Active
Society,Active
leader,Leadership
leader,Active
leader,Responsible
leader,Conscientiousness
coach,Leadership
coach,Active
coach,Responsible
coach,Conscientiousness
Director,Leadership
Event,Extroversion
propose,Knowledge-sharing
lead,Leadership
lead,Teamwork
accomplish ,Conscientiousness
monitor ,Leadership
monitor ,Active
monitor ,Responsible
monitor ,Conscientiousness
coach,Leadership
coach,Active
coach,Responsible
coach,Conscientiousness
3.81,Hard Working
3.82,Hard Working
3.83,Hard Working
3.84,Hard Working
conscientious,Conscientiousness
3.85,Hard Working
3.86,Hard Working
3.87,Hard Working
3.88,Hard Working
3.89,Hard Working
Scholarship,Hard Working
tutor,Hard Working
3.8,Hard Working
3.9,Hard Working
3.91,Hard Working
3.92,Hard Working
3.93,Hard Working
3.94,Hard Working
3.95,Hard Working
3.96,Hard Working
3.97,Hard Working
3.98,Hard Working
3.99,Hard Working
4,Hard Working
Dean's Award,Hard Working
1st Class Honours,Hard Working
First Class Honor,Hard Working
club,Extroversion
society,Extroversion
Event,Extroversion
listening,Openness
negotiation,Openness
communication,Openness
President,Leadership
esteem,Confidence
chairperson,Leadership
chairperson,Active
chairperson,Responsible
chairperson,Conscientiousness
President,Active
President,Responsible
President,Conscientiousness
champion,Extroversion
champion,Conscientiousness
monitor,Leadership
team,Teamwork
teamwork,Teamwork
hardworking,Hard Working
responsible,Responsible
leadership,Leadership
parttime,Hard Working
committee ,Extroversion
participate,Extroversion
3.81,Responsible
3.82,Responsible
3.83,Responsible
3.84,Responsible
3.85,Responsible
3.86,Responsible
3.87,Responsible
3.88,Responsible
3.89,Responsible
3.8,Responsible
3.9,Responsible
3.91,Responsible
3.92,Responsible
3.93,Responsible
3.94,Responsible
3.95,Responsible
3.96,Responsible
3.97,Responsible
3.98,Responsible
3.99,Responsible
4,Responsible
